subID,goldencnum,silverencnum,goldretnum,silverretnum,goldencvoxnum,silverencvoxnum,goldretvoxnum,silverretvoxnum
sub-500,32,32,32,32,109,109,109,109
sub-501,32,32,32,32,102,102,102,102
sub-502,32,32,32,32,126,126,126,126
sub-503,32,32,32,32,108,108,108,108
sub-504,32,32,32,32,119,119,119,119
sub-508,32,32,32,32,84,84,84,84
sub-509,32,32,32,32,102,102,102,102
sub-511,32,32,32,32,104,104,104,104
sub-513,16,16,16,16,138,138,138,138
sub-515,32,32,32,32,98,98,98,98
sub-517,32,32,32,32,92,92,92,92
sub-518,32,32,32,32,74,74,74,74
sub-519,32,32,32,32,115,115,115,115
sub-521,32,32,32,32,135,135,135,135
sub-523,16,16,16,16,97,97,97,97
sub-524,32,32,32,32,99,99,99,99
sub-528,16,16,16,16,111,111,111,111
sub-530,32,32,32,32,108,108,108,108
sub-531,32,32,32,32,118,118,118,118
sub-532,32,32,32,32,96,96,96,96
sub-536,32,32,32,32,111,111,111,111
sub-537,32,32,32,32,130,130,130,130
sub-540,32,32,32,32,98,98,98,98
sub-541,16,16,16,16,126,126,126,126
sub-542,16,16,16,16,113,113,113,113
sub-545,32,32,32,32,99,99,99,99
sub-548,16,16,16,16,139,139,139,139
sub-549,16,16,16,16,97,97,97,97
sub-550,32,32,32,32,99,99,99,99
sub-552,32,32,32,32,119,119,119,119
sub-557,32,32,32,32,100,100,100,100
sub-558,32,32,32,32,97,97,97,97
sub-559,32,32,32,32,105,105,105,105
sub-560,32,32,32,32,114,114,114,114
sub-561,32,32,32,32,65,65,65,65
sub-562,32,32,32,32,128,128,128,128
sub-563,32,32,32,32,111,111,111,111
sub-566,32,32,32,32,114,114,114,114
sub-570,16,16,16,16,103,103,103,103
sub-573,16,16,16,16,112,112,112,112
sub-574,32,32,32,32,109,109,109,109
sub-576,32,32,32,32,95,95,95,95
sub-577,32,32,32,32,98,98,98,98
sub-581,16,16,16,16,107,107,107,107
sub-582,32,32,32,32,103,103,103,103
sub-584,32,32,32,32,97,97,97,97
sub-586,32,32,32,32,104,104,104,104
sub-587,32,32,32,32,105,105,105,105
sub-588,32,32,32,32,100,100,100,100
sub-591,32,32,32,32,95,95,95,95
sub-592,32,32,32,32,91,91,91,91
sub-593,32,32,32,32,106,106,106,106
sub-595,32,32,32,32,94,94,94,94
sub-596,32,32,32,32,101,101,101,101
sub-597,32,32,32,32,115,115,115,115
sub-598,32,32,32,32,107,107,107,107
sub-601,32,32,32,32,80,80,80,80
sub-602,32,32,32,32,95,95,95,95
sub-604,16,16,16,16,85,85,85,85
sub-605,32,32,32,32,91,91,91,91
sub-608,32,32,32,32,114,114,114,114
sub-609,32,32,32,32,120,120,120,120
sub-615,32,32,32,32,97,97,97,97
sub-617,32,32,32,32,86,86,86,86
sub-622,32,32,32,32,112,112,112,112
sub-626,32,32,32,32,101,101,101,101
sub-627,16,16,16,16,105,105,105,105
sub-629,32,32,32,32,95,95,95,95
sub-631,16,16,16,16,93,93,93,93
sub-634,16,16,16,16,109,109,109,109
sub-635,32,32,32,32,101,101,101,101
sub-636,32,32,32,32,90,90,90,90
sub-637,32,32,32,32,102,102,102,102
sub-638,32,32,32,32,105,105,105,105
sub-641,32,32,32,32,128,128,128,128
sub-642,32,32,32,32,99,99,99,99
sub-643,32,32,32,32,101,101,101,101
sub-644,32,32,32,32,101,101,101,101
sub-645,16,16,16,16,116,116,116,116
sub-646,32,32,32,32,115,115,115,115
sub-647,32,32,32,32,96,96,96,96
sub-648,32,32,32,32,89,89,89,89
sub-649,32,32,32,32,108,108,108,108
sub-650,32,32,32,32,87,87,87,87
sub-651,32,32,32,32,101,101,101,101
sub-653,32,32,32,32,88,88,88,88
sub-654,32,32,32,32,108,108,108,108
sub-655,16,16,16,16,95,95,95,95
sub-656,32,32,32,32,104,104,104,104
